VA3MW,va3mw.dxcluster.org:41112
JE3YEK,JE3YEK.FIGARO.GR.JP:41112
JG2YPV,PACKET.LID.NE.JP:41112
JH1XYR,210.254.79.5:8000
JH2ZYY,JH2ZYY.D2G.COM
JK1ZRW-9,JK1ZRW.DYNDNS.ORG:41112
JN3AOU-9,JN3AOU.DYNDNS.ORG:7300
K0MP,K0MP.DYNIP.COM/
K1AJ,K1AJ.MINE.NU:7300
K1EA,DXC.K1EA.COM:7300
K1EU,K1EU.DYNIP.COM
K1RFI,RFCPA.ATH.CX:7300
K1RK,FALARA.WHOI.EDU
